school_name,state_name,enrollment
Centennial Independent Study,California,8
Valley Children's Hospital,California,8
Freedom Home,California,12
Valley Center High,California,1154
Oak Glen High,California,62
Pauma Elementary,California,229
Valley Center Middle,California,914
Valley Center Primary,California,519
Valley Center Elementary,California,556
Valley Center Prep,California,60
Lilac,California,569
Ridgecrest Charter,California,475
West Side ROP,California,0
North Kern Vocational Training Center,California,0
Kern County ROP,California,0
Kern High ROC,California,0
Kings County ROP,California,0
Lake County ROP,California,0
Lassen ROP,California,0
Napa County ROP,California,0
Modoc County ROP,California,0
Forty-Niner ROP,California,0
Plumas County ROP,California,0
Tri-Valley ROP,California,0
Eden Area ROP,California,0
Mission Valley ROCP,California,0
East Bay Regional Occupation Center/Agency (ROC/P),California,
Amador County ROP,California,0
Butte County ROP,California,0
Contra Costa County ROP,California,0
Del Norte County ROP,California,0
Riverside County ROP,California,0
Sacramento County ROP,California,0
Central Sierra ROP,California,0
Valley ROP,California,0
Fresno ROP,California,0
Glenn County ROP,California,0
Humboldt County ROP,California,0
Imperial Valley ROP,California,0
La Puente Valley ROP,California,0
Southeast ROP,California,0
East San Gabriel Valley ROP,California,0
Tri-Cities ROP,California,0
Southern California ROC,California,0
Long Beach Unified School District ROP,California,0
Los Angeles Unified School District ROCP,California,0
Los Angeles County ROP,California,0
Hart ROP,California,0
Antelope Valley ROP,California,0
Compton Unified ROP,California,0
San Antonio ROP,California,0
Manzanita Community Day,California,4
Chawanakee Academy Charter,California,131
North Fork Elementary,California,258
Spring Valley Elementary,California,184
Mountain Oaks High,California,13
Cougar Springs Community Day,California,
Minarets High,California,204
Minarets Charter High,California,260
Marin County ROP,California,0
Mendocino County ROP,California,0
Merced County ROP,California,0
Mission Trails ROP,California,0
North Orange County ROP,California,0
College and Career Advantage,California,0
Coastline ROP,California,0
Central Orange County CTE Partnership (CTEp),California,0
Shasta-Trinity ROP,California,0
William R. Rouse ROP,California,0
Siskiyou County ROP,California,0
Solano County ROP,California,
Sonoma County ROP,California,0
Colton-Redlands-Yucaipa ROP,California,0
Baldy View ROP,California,0
San Bernardino County ROP,California,0
Santa Barbara County ROP-South,California,0
Santa Barbara County ROP-North,California,0
New West Charter,California,825
Silicon Valley Career Technical Education Center,California,0
School of Arts and Enterprise,California,745
Santa Clara County ROP-South,California,0
San Diego County ROP,California,0
San Francisco County ROP,California,0
San Joaquin County ROCP,California,0
Santa Lucia ROP,California,
San Mateo County ROP,California,0
Santa Cruz County ROP,California,0
Yosemite ROP,California,0
Tri-County ROP,California,0
Tehama County ROP,California,0
Tulare County Organization for Vocational Education ROP,California,
Ventura County ROP,California,0
Yolo County ROP,California,0
Century High,California,116
Alhambra High,California,2512
Mark Keppel High,California,2281
San Gabriel High,California,2216
Independence High (Alternative),California,89
Brightwood Elementary,California,947
Emery Park Elementary,California,454
Fremont Elementary,California,601
Garfield Elementary,California,643
Granada Elementary,California,454
Marguerita Elementary,California,679
Martha Baldwin Elementary,California,1106
Monterey Highlands Elementary,California,971
Park Elementary,California,752
Ramona Elementary,California,876
Repetto Elementary,California,789
William Northrup Elementary,California,646
Ynez Elementary,California,892
Mono County ROP,California,0
John H. Pitman High,California,2168
Roselawn High,California,188
Turlock High,California,2340
Turlock Junior High,California,1298
Crowell Elementary,California,731
Cunningham Elementary,California,738
Julien Elementary,California,821
Osborn Two-Way Immersion Academy,California,938
Wakefield Elementary,California,586
Walter M. Brown Elementary,California,642
Dennis G. Earl Elementary,California,869
Marvin A. Dutcher Middle,California,814
Sandra Tovar Medeiros Elementary,California,840
Walnut Elementary Education Center,California,912
eCademy Charter at Crane,California,166
Fusion Charter,California,108
Etna Elementary,California,179
Etna Union High,California,188
Fort Jones Elementary,California,134
Scott River High,California,9
Scott Valley Junior High,California,141
Scott Valley Community Day,California,4
Etna Community Day,California,0
Coarsegold Elementary,California,439
Yosemite High,California,690
Meadowbrook Community Day,California,4
Ahwahnee High,California,21
Raymond Granite High,California,2
Foothill High (Alternative),California,0
Mountain Home Charter (Alternative),California,350
Rivergold Elementary,California,499
Evergreen High,California,42
Glacier High School Charter,California,112
Yosemite Falls Education Center,California,24
Campbell High Community Day,California,5
High Tech High North County,California,447
High Tech High Chula Vista,California,623
High Tech Middle North County,California,334
High Tech Middle Chula Vista,California,310
High Tech Elementary Chula Vista,California,406
High Tech Elementary North County,California,365
Lifeline Education Charter,California,628
Cox Bar Elementary,California,0
Alps View High (Continuation),California,3
Trinity High,California,363
Weaverville Elementary,California,379
Trinity River Community Day,California,
Trinity River Elementary Community Day,California,0
Del Paso Heights Elementary,California,511
Fairbanks Elementary,California,391
Foothill Ranch Middle,California,653
Foothill High,California,1183
Grant Union High,California,1903
Highlands High,California,758
Rio Linda High,California,1676
Rio Linda Preparatory Academy,California,517
Rio Tierra Junior High,California,506
Foothill Oaks Elementary,California,536
Smythe Academy of Arts and Sciences,California,1120
D. W. Babcock Elementary,California,416
Hagginwood Elementary,California,452
Harmon Johnson Elementary,California,614
Hazel Strauch Elementary,California,621
Michael J. Castori Elementary,California,695
Noralto Elementary,California,478
Northwood Elementary,California,480
Woodlake Elementary,California,444
Westside Preparatory Charter,California,356
Warren A. Allison Elementary,California,417
Dry Creek Elementary,California,439
Frederick Joyce Elementary,California,566
Frontier Elementary,California,493
Hillsdale Elementary,California,367
Kohler Elementary,California,508
Madison Elementary,California,659
Oakdale Elementary,California,663
Orchard Elementary,California,549
Pioneer Elementary,California,631
Sierra View Elementary,California,389
Village Elementary,California,576
Woodridge Elementary,California,548
Elwood J. Keema High,California,389
Pacific Career and Technology High,California,115
Miles P. Richmond,California,59
Martin Luther King Jr. Technology Academy,California,436
Garden Valley Elementary,California,380
Ridgepoint Elementary,California,698
Westside Elementary,California,418
Morey Avenue Early Childhood Development,California,88
Vista Nueva Career and Technology High,California,142
Pathways Community Day,California,17
Futures High,California,411
Community Collaborative Charter,California,469
Heritage Peak Charter,California,1155
Creative Connections Arts Academy,California,662
Community Outreach Academy,California,1535
Norwood Junior High,California,754
Regency Park Elementary,California,723
Higher Learning Academy,California,257
SAVA: Sacramento Academic and Vocational Academy,California,787
Nova Opportunity,California,22
Highlands Community Charter,California,1268
Barack Obama Charter,California,355
Hamilton Elementary,California,410
Hamilton High,California,276
Hamilton Community Day,California,0
Ella Barkley High,California,11
North County Regional Occupational Program,California,0
Elm Street Elementary,California,424
Home Street Middle,California,457
Bishop Union High,California,548
Keith B. Bright High (Juvenile Hall),California,3
Pine Street Elementary,California,396
Palisade Glacier High (Continuation),California,25
Bishop Union Elementary Community Day,California,1
Bishop Union Elementary Community Day II,California,3
Bishop Independent Study,California,27
Community Day School III,California,6
Lammersville Elementary,California,180
Wicklund Elementary,California,758
Bethany Elementary,California,871
Sebastian Questa Elementary,California,847
Mountain House High,California,1078
Altamont Elementary,California,786
San Francisco Flex Academy,California,
Santa Barbara Charter,California,310
Adams Elementary,California,555
Cleveland Elementary,California,333
Dos Pueblos Senior High,California,2057
Franklin Elementary,California,586
Goleta Valley Junior High,California,775
Harding University Partnership,California,395
La Colina Junior High,California,961
La Cuesta Continuation High,California,81
La Cumbre Junior High,California,462
Monroe Elementary,California,446
Open Alternative,California,88
Peabody Charter,California,750
Roosevelt Elementary,California,577
San Marcos Senior High,California,2192
Santa Barbara Junior High,California,759
Santa Barbara Senior High,California,2112
Washington Elementary,California,604
Santa Barbara Community Academy,California,306
Adelante Charter,California,283
McKinley Elementary,California,407
Alta Vista Alternative High,California,142
Alta Vista Alternative Junior High,California,1
American Union Elementary,California,330
West Fresno Middle,California,389
West Fresno Elementary,California,760
Washington High,California,1031
Easton Continuation High,California,9
W. E. B. DuBois Public Charter,California,353
Easton Community Day,California,5
Elm High,California,121
Francis J. White Learning Center,California,535
Woodlake Valley Middle,California,509
Woodlake High,California,629
Bravo Lake High,California,39
Woodlake Community Day,California,13
Castle Rock Elementary,California,467
Synergy Education Project,California,
Fortuna Middle,California,257
South Fortuna Elementary,California,337
Norman G. Ambrosini Elementary,California,327
Toddy Thomas Elementary,California,235
Redwood Preparatory Charter,California,221
Barbara Webster Elementary,California,391
Blanchard Elementary,California,413
Glen City Elementary,California,595
Grace S. Thille Elementary,California,414
Isbell Middle,California,1259
McKevett Elementary,California,373
Thelma B. Bedell Elementary,California,354
Renaissance High,California,118
Santa Paula High,California,1534
Pine Grove Youth Conservation Camp,California,26
Johanna Boss High,California,118
N.A. Chaderjian High,California,140
Mary B. Perry High,California,104
Lincoln Elementary,California,592
Rocky Hill Elementary,California,612
Exeter Union High,California,915
Kaweah High,California,68
Exeter Independent Study (Alternative),California,66
Exeter Community Day,California,
Wilson Middle,California,598
Magnolia Science Academy Santa Ana,California,639
Bonsall Elementary,California,990
Vivian Banks Charter,California,108
Norman L. Sullivan Middle,California,581
Bonsall West Elementary,California,556
Bonsall High,California,229
Pathways Academy Charter,California,394
Williams Ranch Elementary,California,149
Vantage Point Charter,California,43
Pleasant Valley Elementary,California,177
Ready Springs Elementary,California,231
Penn Valley Union Special Education Preschool,California,
Juan De Anza Elementary,California,588
Juan Cabrillo Elementary,California,456
Richard Henry Dana Middle,California,1024
Peter Burnett Elementary,California,463
Da Vinci Science,California,541
Da Vinci Design,California,588
Da Vinci Innovation Academy,California,369
Malaga Cove School - Success Learning Center,California,
Da Vinci Communications High,California,271
Thrive Public,California,
Thrive Public,California,461
Anahuacalmecac International Univ Prep of N. America,California,374
The New School of San Francisco,California,130
Paramount Collegiate Academy,California,82
OnePurpose,California,123
Baypoint Preparatory Academy,California,383
Academia Avance Charter,California,397
Olive Grove Charter,California,298
Wei Yu International Charter,California,
Prepa Tec Los Angeles High,California,112
Rocketship Futuro Academy,California,124
CA Advancing Pathways for Students in Los Angeles Co,California,0
Audeo Charter II,California,287
Upper Lake Elementary,California,355
Clover Valley High (Continuation),California,20
Upper Lake High,California,290
Upper Lake Middle,California,169
Upper Lake Community Day,California,0
Ross Valley Charter,California,
Aloha Elementary,California,372
Artesia High,California,1450
Bragg Elementary,California,660
Burbank (Luther) Elementary,California,511
Carmenita Middle,California,702
Carver (Charles J.) Elementary,California,628
Cerritos Elementary,California,671
Cerritos High,California,2180
Elliott (William F) Elementary,California,559
Ross (Faye) Middle,California,571
Furgeson (Venn W.) Elementary,California,417
Gahr (Richard) High,California,2019
Gonsalves (Joe A.) Elementary,California,635
Haskell (Pliny Fisk) Middle,California,544
Hawaiian Elementary,California,397
Juarez (Benito) Elementary,California,343
Kennedy (John F.) Elementary,California,476
Fedde (Pharis F.) Middle,California,424
Leal (Frank C.) Elementary,California,742
Melbourne (Ella P.) Elementary,California,527
Niemes (John H.) Elementary,California,702
Nixon (Patricia) Elementary,California,804
Palms Elementary,California,658
Stowers(Cecil B.) Elementary,California,654
Tetzlaff (Martin B.) Middle,California,663
Tracy (Wilbur) High (Continuation),California,315
Whitney (Gretchen) High,California,1011
Willow Elementary,California,433
Wittmann (Helen) Elementary,California,569
ABC Secondary (Alternative),California,69
Acalanes High,California,1360
Campolindo High,California,1309
Las Lomas High,California,1530
Miramonte High,California,1277
Acalanes Center for Independent Study,California,35
Bowman Charter,California,586
Adelanto Elementary,California,385
Donald F. Bradach Elementary,California,482
Mesa Linda Middle,California,1025
Westside Park Elementary,California,579
Eagle Ranch Elementary,California,673
Morgan Kincaid Preparatory,California,853
George Visual and Performing Arts Magnet and Middle,California,697
Columbia Middle,California,709
Theodore Vick Elementary,California,591
Victoria Magathan Elementary,California,551
West Creek Elementary,California,377
Alta Vista Public,California,1578
Gus Franklin Jr. School,California,551
El Mirage,California,142
Taylion High Desert Academy/Adelanto,California,358
Melva Davis Academy of Excellence,California,706
William G. Paden Elementary,California,301
Bay Farm,California,637
Alameda High,California,1786
The Academy of Alameda,California,511
Amelia Earhart Elementary,California,610
Edison Elementary,California,452
Encinal Junior/Senior High,California,1343
Henry Haight Elementary,California,440
Island High (Continuation),California,128
Lincoln Middle,California,833
Donald D. Lum Elementary,California,498
Frank Otis Elementary,California,582
Will C. Wood Middle,California,510
Franklin Elementary,California,338
Alameda Community Learning Center,California,374
Alternatives in Action,California,171
Alameda Science and Technology Institute,California,183
Ruby Bridges Elementary,California,483
Nea Community Learning Center,California,528
Maya Lin,California,328
The Academy of Alameda Elementary,California,134
Albany High,California,1164
Albany Middle,California,919
Cornell Elementary,California,544
Marin Elementary,California,505
MacGregor High (Continuation),California,7
Ocean View Elementary,California,560
Alexander Valley Elementary,California,130
Alisal Community,California,768
Bardin Elementary,California,714
Fremont Elementary,California,847
Jesse G. Sanchez Elementary,California,843
Cesar E. Chavez Elementary,California,816
Creekside Elementary,California,713
Frank Paul Elementary,California,810
Oscar F. Loya Elementary,California,699
Virginia Rocca Barton Elementary,California,789
John E. Steinbeck Elementary,California,679
Oasis Charter Public,California,235
Dr. Martin Luther King Jr. Academy,California,598
Monte Bella Elementary,California,724
Allensworth Elementary,California,78
Alpaugh Elementary,California,213
Alpaugh Junior-Senior High,California,126
Tule Continuation High,California,1
California Connections Academy@Central,California,453
Diamond Valley Elementary,California,80
Alpine County Secondary Community Day,California,0
Alpine Elementary,California,260
Joan MacQueen Middle,California,556
Mountain View Learning Academy,California,78
Shadow Hills Elementary,California,334
Boulder Oaks Elementary,California,270
Creekside Early Learning Center,California,247
Alpine Community Day,California,
Alta Loma Elementary,California,502
Alta Loma Junior High,California,681
Carnelian Elementary,California,439
Jasper Elementary,California,484
Floyd M. Stork Elementary,California,750
Banyan Elementary,California,611
Deer Canyon Elementary,California,618
Hermosa Elementary,California,575
Victoria Groves Elementary,California,549
Vineyard Junior High,California,776
Alta Vista Elementary,California,555
Alta-Dutch Flat Elementary,California,104
Clyde Arbuckle Elementary,California,301
Sylvia Cassell Elementary,California,427
Horace Cureton Elementary,California,500
A. J. Dorsa Elementary,California,418
Clyde L. Fischer Middle,California,352
Joseph George Middle,California,572
Aptitud Community Academy at Goss,California,469
O. S. Hubbard Elementary,California,588
Linda Vista Elementary,California,546
